নিচের কোনটি সঠিক নয়?,,,ক্ষ = ক + ষ ,,,হ্ম = হ + ঙ,,,ম্ম = ম + ম ,,,ক্র = ক + র-ফলা 
নিচের কোন শব্দে ক্স যুক্তবর্ণটি ব্যবহৃত হয়েছে?,,,রুক্মিনী,,,ক্রয়,,,কক্সবাজার,,,ক্লাস 
নিচের কোন বাক্যে যুক্তবর্ণযুক্ত শব্দের সঠিক ব্যবহার হয়েছে?,,,আমরা ব্রাহ্মণবাড়িয়া বেড়াতে গিয়েছিলাম। ,,,সামনের মঞ্ছে অনুষ্ঠান হচ্ছে। ,,,আমাদের ডিসেম্বরে পরীখা হবে। ,,,এখন সবার তথ্য-প্রযুত্তি জ্ঞান থাকা উচিত। 
“তুলনা” শব্দটি দিয়ে গঠিত বাক্য কোনটি?,,,দয়া করে এইখানে ময়লা ফেলবেন না। ,,,) আমাদের এলাকায় সবাই অনেক সচেতন।,,,বড়দের তুলনায় ছোটরা কার্টুন দেখতে পছন্দ করে।,,,আমাদের গ্রামের বাড়িতে একটা বড় পুকুর আছে। 
নিচের কোন বাক্যে প্রশ্নবোধক চিহ্ন বসবে?,,,তুমি খুব ভালো,,,তুমি ভালো আছো ,,,ভালো থাকা খুব গুরুত্বপুর্ণ,,,এখন বাইরের অবস্থা ভালো নয় 
নিচের কোন বাক্যটি সঠিক?,,,মিষ্টিগুলো অনেক মজা!,,,তোমরা কোথায় বেড়াতে গিয়েছিলে?,,,সাদা আমার প্রিয় রঙ?,,,প্রজাপতি দেখতে অনেক রংবেরঙয়ের হয়। 
জল বিশ্লেষণ করলে কি হয়?,,,এক ভাগ নাইট্রোজেন ও তিন ভাগ অক্সিজেন,,,দুইভাগ নাইট্রোজেন ও এক ভাগ অক্সিজেন ,,,একভাগ হাইড্রোজেন ও দুইভাগ অক্সিজেন ,,,দুইভাগ হাইড্রোজেন ও একভাগ অক্সিজেন 
বাংলাদেশের প্রকৃতির অসাধারণ রূপৈশ্বর্য একসময় একে ‘রূপসী বাংলা অভিধায় অভিষিক্ত করেছিল। কিন্তু এই অভিধা আজ অনেকাংশে প্রশ্নবিদ্ধ। একসময় এদেশে ছিল মাঠভরা ফসল, গোলাভরা ধান, পুকুরভরা মাছ। মাঠে কৃষকের মুখে ছিল হাসি। নদীতে মাঝির কণ্ঠে ছিল ভাওয়াইয়া, ভাটিয়ালি গান। গাছে গাছে ছিল পাখির কূজন। সর্বত্র ছিল শান্তির সুবাতাস। কিন্তু আজকের রূপসী বাংলা খরা, বন্যা, জলোচ্ছ্বাস, ঘূর্ণিঝড়সহ বিভিন্ন প্রাকৃতিক দুর্যোগের মুহুর্মুহু আঘাতে বিপর্যস্ত। আজ কৃষকের মুখে হাসি নেই, বরং মাথায় হাত। আজ মাঝির কণ্ঠে নেই ভাওয়াইয়া, ভাটিয়ালি গান, বরং চোখে ভাসে অনিশ্চিত ভবিষ্যতের দুঃস্বপ্ন। ষড়ঋতুর এই রূপসী বাংলায় কখন শরৎ, হেমন্ত বা বসন্ত এলোগেলো তা পঞ্জিকার পাতা উল্টিয়ে আজ আর ঠাহর করা যায় না। এই বাংলার পরিবেশ আজ বিপর্যয়ের সম্মুখীন। আর তাই রূপসী বাংলার অস্তিত্বও সংকটাপন্ন। এ অবস্থা চলতে থাকলে এমন একদিন হয়তো শীঘ্রই আসবে যেদিন আমাদের ভবিষ্যৎ প্রজন্ম রূপসী বাংলার অনুপম রূপৈশ্বর্যের কথা বই-পুস্তকে রূপকথা হিসেবে উপভোগ  করবে। ১৩। বাংলাদেশকে কোন অভিধায় অভিষিক্ত করা হয়?,,,বৈচিত্র্যময় বাংলা,,,সমুদ্র তীরের বাংলা ,,,রূপসী বাংলা,,,প্রাকৃতিক দুর্যোগের বাংলা 
বাংলাদেশে কোন প্রাকৃতিক দুর্যোগটি সাধারণত দেখা যায় না?,,,খরা,,,দাবানল,,,ভূমিকম্প,,,বন্যা 
বাংলাদেশের রূপসী বাংলা এই উপাধি বর্তমান সময়ে সংকটাপন্ন কেন?,,,প্রাকৃতিক দুর্যোগের কারণে,,,আগের মতো বনাঞ্চল নেই তাই ,,,গ)  অনেক বেশি রাস্তাঘাটের কারণে,,,উঁচু উঁচু বিল্ডিংয়ের আছে এইজন্য 
কোনটিতে ঠিকানাসহ খাম দেয়া বাধ্যতামূলক?,,,চিঠি,,,দরখাস্ত,,,ই-মেইল,,,অভিনন্দন পত্র 
চিঠিতে মোট কয়টি অংশ আছে?,,,৬,,,৪,,,৩,,,৫
